Test Instrument:,Cary 500 (1437)
Part No.:,610FS10-25
Lot No.:,27843
Serial No.:,N072-04
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
590.0000,  0.0066
590.1000,  0.0042
590.2000,  0.0042
590.3000,  0.0059
590.4000,  0.0038
590.5000,  0.0051
590.6000,  0.0038
590.7000,  0.0071
590.8000,  0.0051
590.9000,  0.0046
591.0000,  0.0050
591.1000,  0.0067
591.2000,  0.0075
591.3000,  0.0075
591.4000,  0.0079
591.5000,  0.0079
591.6000,  0.0046
591.7000,  0.0090
591.8000,  0.0068
591.9000,  0.0089
592.0000,  0.0106
592.1000,  0.0089
592.2000,  0.0084
592.3000,  0.0109
592.4000,  0.0109
592.5000,  0.0113
592.6000,  0.0117
592.7000,  0.0112
592.8000,  0.0129
592.9000,  0.0120
593.0000,  0.0136
593.1000,  0.0123
593.2000,  0.0131
593.3000,  0.0127
593.4000,  0.0130
593.5000,  0.0146
593.6000,  0.0145
593.7000,  0.0170
593.8000,  0.0169
593.9000,  0.0194
594.0000,  0.0181
594.1000,  0.0176
594.2000,  0.0176
594.3000,  0.0196
594.4000,  0.0216
594.5000,  0.0191
594.6000,  0.0206
594.7000,  0.0247
594.8000,  0.0242
594.9000,  0.0249
595.0000,  0.0260
595.1000,  0.0267
595.2000,  0.0266
595.3000,  0.0286
595.4000,  0.0291
595.5000,  0.0302
595.6000,  0.0306
595.7000,  0.0330
595.8000,  0.0329
595.9000,  0.0353
596.0000,  0.0352
596.1000,  0.0380
596.2000,  0.0408
596.3000,  0.0415
596.4000,  0.0426
596.5000,  0.0465
596.6000,  0.0456
596.7000,  0.0470
596.8000,  0.0513
596.9000,  0.0520
597.0000,  0.0555
597.1000,  0.0565
597.2000,  0.0595
597.3000,  0.0621
597.4000,  0.0635
597.5000,  0.0689
597.6000,  0.0716
597.7000,  0.0739
597.8000,  0.0783
597.9000,  0.0810
598.0000,  0.0837
598.1000,  0.0885
598.2000,  0.0941
598.3000,  0.0976
598.4000,  0.1007
598.5000,  0.1079
598.6000,  0.1097
598.7000,  0.1159
598.8000,  0.1230
598.9000,  0.1284
599.0000,  0.1371
599.1000,  0.1412
599.2000,  0.1489
599.3000,  0.1567
599.4000,  0.1652
599.5000,  0.1757
599.6000,  0.1843
599.7000,  0.1942
599.8000,  0.2053
599.9000,  0.2151
600.0000,  0.2261
600.1000,  0.2388
600.2000,  0.2515
600.3000,  0.2671
600.4000,  0.2808
600.5000,  0.2964
600.6000,  0.3126
600.7000,  0.3320
600.8000,  0.3516
600.9000,  0.3723
601.0000,  0.3950
601.1000,  0.4173
601.2000,  0.4429
601.3000,  0.4700
601.4000,  0.4970
601.5000,  0.5297
601.6000,  0.5612
601.7000,  0.6007
601.8000,  0.6356
601.9000,  0.6817
602.0000,  0.7278
602.1000,  0.7741
602.2000,  0.8235
602.3000,  0.8810
602.4000,  0.9403
602.5000,  1.0106
602.6000,  1.0748
602.7000,  1.1477
602.8000,  1.2307
602.9000,  1.3204
603.0000,  1.4156
603.1000,  1.5216
603.2000,  1.6376
603.3000,  1.7622
603.4000,  1.9059
603.5000,  2.0469
603.6000,  2.2143
603.7000,  2.3826
603.8000,  2.5806
603.9000,  2.7911
604.0000,  3.0079
604.1000,  3.2562
604.2000,  3.5412
604.3000,  3.8481
604.4000,  4.1728
604.5000,  4.5198
604.6000,  4.9382
604.7000,  5.3775
604.8000,  5.8405
604.9000,  6.4002
605.0000,  6.9832
605.1000,  7.6204
605.2000,  8.2735
605.3000,  9.0337
605.4000,  9.8564
605.5000, 10.8246
605.6000, 11.8542
605.7000, 12.9471
605.8000, 14.1419
605.9000, 15.4821
606.0000, 16.9830
606.1000, 18.5220
606.2000, 20.2540
606.3000, 22.0584
606.4000, 24.0780
606.5000, 26.0493
606.6000, 28.1878
606.7000, 30.4951
606.8000, 32.9346
606.9000, 35.4716
607.0000, 37.9787
607.1000, 40.6180
607.2000, 43.2402
607.3000, 46.0371
607.4000, 48.5616
607.5000, 51.1106
607.6000, 53.5365
607.7000, 56.0016
607.8000, 58.0888
607.9000, 59.9073
608.0000, 61.8198
608.1000, 63.5265
608.2000, 65.0385
608.3000, 66.2303
608.4000, 67.3667
608.5000, 68.4309
608.6000, 69.2259
608.7000, 69.9216
608.8000, 70.5272
608.9000, 70.9885
609.0000, 71.3431
609.1000, 71.6301
609.2000, 71.8714
609.3000, 71.9984
609.4000, 72.1111
609.5000, 72.2868
609.6000, 72.4102
609.7000, 72.4369
609.8000, 72.5063
609.9000, 72.6045
610.0000, 72.6660
610.1000, 72.7111
610.2000, 72.7733
610.3000, 72.7967
610.4000, 72.9118
610.5000, 72.9352
610.6000, 73.0471
610.7000, 73.1253
610.8000, 73.1701
610.9000, 73.2539
611.0000, 73.2661
611.1000, 73.3229
611.2000, 73.3378
611.3000, 73.3947
611.4000, 73.4274
611.5000, 73.4605
611.6000, 73.4279
611.7000, 73.3952
611.8000, 73.3924
611.9000, 73.3338
612.0000, 73.2470
612.1000, 73.1666
612.2000, 73.0859
612.3000, 72.9462
612.4000, 72.8191
612.5000, 72.7325
612.6000, 72.5653
612.7000, 72.4342
612.8000, 72.2680
612.9000, 72.0864
613.0000, 71.9936
613.1000, 71.8390
613.2000, 71.7118
613.3000, 71.5761
613.4000, 71.4349
613.5000, 71.2904
613.6000, 71.1749
613.7000, 71.0072
613.8000, 70.9399
613.9000, 70.8718
614.0000, 70.7874
614.1000, 70.7456
614.2000, 70.6436
614.3000, 70.5204
614.4000, 70.4895
614.5000, 70.3448
614.6000, 70.2015
614.7000, 70.0362
614.8000, 69.8630
614.9000, 69.5382
615.0000, 69.2324
615.1000, 68.7808
615.2000, 68.3312
615.3000, 67.6798
615.4000, 66.8911
615.5000, 66.0011
615.6000, 64.9486
615.7000, 63.7999
615.8000, 62.3593
615.9000, 60.8494
616.0000, 59.0643
616.1000, 57.3056
616.2000, 55.3197
616.3000, 53.1641
616.4000, 50.8336
616.5000, 48.4782
616.6000, 46.0127
616.7000, 43.4678
616.8000, 40.8891
616.9000, 38.4732
617.0000, 36.0149
617.1000, 33.5331
617.2000, 31.0680
617.3000, 28.8256
617.4000, 26.7734
617.5000, 24.6619
617.6000, 22.7980
617.7000, 20.9678
617.8000, 19.3676
617.9000, 17.7252
618.0000, 16.2610
618.1000, 14.8563
618.2000, 13.6924
618.3000, 12.5743
618.4000, 11.5031
618.5000, 10.4988
618.6000,  9.6805
618.7000,  8.8367
618.8000,  8.1816
618.9000,  7.4831
619.0000,  6.8914
619.1000,  6.3674
619.2000,  5.8502
619.3000,  5.3898
619.4000,  4.9486
619.5000,  4.5761
619.6000,  4.2359
619.7000,  3.9172
619.8000,  3.6121
619.9000,  3.3469
620.0000,  3.1096
620.1000,  2.8881
620.2000,  2.6733
620.3000,  2.4944
620.4000,  2.3206
620.5000,  2.1633
620.6000,  2.0138
620.7000,  1.8704
620.8000,  1.7451
620.9000,  1.6403
621.0000,  1.5263
621.1000,  1.4343
621.2000,  1.3433
621.3000,  1.2558
621.4000,  1.1810
621.5000,  1.1004
621.6000,  1.0312
621.7000,  0.9734
621.8000,  0.9181
621.9000,  0.8647
622.0000,  0.8160
622.1000,  0.7657
622.2000,  0.7224
622.3000,  0.6845
622.4000,  0.6465
622.5000,  0.6083
622.6000,  0.5753
622.7000,  0.5442
622.8000,  0.5143
622.9000,  0.4859
623.0000,  0.4604
623.1000,  0.4386
623.2000,  0.4165
623.3000,  0.3945
623.4000,  0.3738
623.5000,  0.3580
623.6000,  0.3369
623.7000,  0.3197
623.8000,  0.3090
623.9000,  0.2898
624.0000,  0.2805
624.1000,  0.2647
624.2000,  0.2523
624.3000,  0.2400
624.4000,  0.2310
624.5000,  0.2222
624.6000,  0.2109
624.7000,  0.2019
624.8000,  0.1928
624.9000,  0.1857
625.0000,  0.1751
625.1000,  0.1678
625.2000,  0.1584
625.3000,  0.1533
625.4000,  0.1465
625.5000,  0.1405
625.6000,  0.1342
625.7000,  0.1294
625.8000,  0.1240
625.9000,  0.1189
626.0000,  0.1143
626.1000,  0.1092
626.2000,  0.1069
626.3000,  0.1027
626.4000,  0.0981
626.5000,  0.0947
626.6000,  0.0901
626.7000,  0.0871
626.8000,  0.0826
626.9000,  0.0800
627.0000,  0.0767
627.1000,  0.0774
627.2000,  0.0753
627.3000,  0.0708
627.4000,  0.0670
627.5000,  0.0653
627.6000,  0.0624
627.7000,  0.0583
627.8000,  0.0571
627.9000,  0.0550
628.0000,  0.0545
628.1000,  0.0521
628.2000,  0.0516
628.3000,  0.0475
628.4000,  0.0467
628.5000,  0.0474
628.6000,  0.0422
628.7000,  0.0381
628.8000,  0.0429
628.9000,  0.0373
629.0000,  0.0364
629.1000,  0.0380
629.2000,  0.0344
629.3000,  0.0359
629.4000,  0.0327
629.5000,  0.0331
629.6000,  0.0311
629.7000,  0.0330
629.8000,  0.0298
629.9000,  0.0294
630.0000,  0.0278
