Test Instrument:,Cary 5E (0905)
Part No.:,675FS10-25
Lot No.:,24650
Serial No.:,N048-01
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
655.0000,  0.0085
655.2000,  0.0107
655.4000,  0.0118
655.6000,  0.0140
655.8000,  0.0101
656.0000,  0.0145
656.2000,  0.0123
656.4000,  0.0145
656.6000,  0.0155
656.8000,  0.0172
657.0000,  0.0155
657.2000,  0.0172
657.4000,  0.0177
657.6000,  0.0199
657.8000,  0.0221
658.0000,  0.0242
658.2000,  0.0248
658.4000,  0.0280
658.6000,  0.0286
658.8000,  0.0340
659.0000,  0.0335
659.2000,  0.0368
659.4000,  0.0400
659.6000,  0.0401
659.8000,  0.0466
660.0000,  0.0477
660.2000,  0.0532
660.4000,  0.0593
660.6000,  0.0614
660.8000,  0.0659
661.0000,  0.0736
661.2000,  0.0836
661.4000,  0.0874
661.6000,  0.0952
661.8000,  0.1048
662.0000,  0.1148
662.2000,  0.1199
662.4000,  0.1348
662.6000,  0.1450
662.8000,  0.1617
663.0000,  0.1813
663.2000,  0.1988
663.4000,  0.2175
663.6000,  0.2460
663.8000,  0.2676
664.0000,  0.2956
664.2000,  0.3307
664.4000,  0.3685
664.6000,  0.4140
664.8000,  0.4618
665.0000,  0.5117
665.2000,  0.5746
665.4000,  0.6514
665.6000,  0.7361
665.8000,  0.8272
666.0000,  0.9423
666.2000,  1.0650
666.4000,  1.2230
666.6000,  1.3872
666.8000,  1.5895
667.0000,  1.8391
667.2000,  2.1169
667.4000,  2.4430
667.6000,  2.8099
667.8000,  3.2462
668.0000,  3.7907
668.2000,  4.4277
668.4000,  5.1914
668.6000,  6.0822
668.8000,  7.1243
669.0000,  8.3523
669.2000,  9.8086
669.4000, 11.5463
669.6000, 13.5946
669.8000, 15.9488
670.0000, 18.6054
670.2000, 21.5559
670.4000, 24.8321
670.6000, 28.4410
670.8000, 32.2097
671.0000, 36.3675
671.2000, 40.3685
671.4000, 44.2731
671.6000, 47.7228
671.8000, 51.1553
672.0000, 54.1676
672.2000, 56.7281
672.4000, 58.9709
672.6000, 60.6467
672.8000, 62.1052
673.0000, 63.2498
673.2000, 64.1463
673.4000, 64.7825
673.6000, 65.4788
673.8000, 65.8994
674.0000, 66.2756
674.2000, 66.6583
674.4000, 66.9776
674.6000, 67.3051
674.8000, 67.5112
675.0000, 67.7580
675.2000, 67.9733
675.4000, 68.0801
675.6000, 68.2742
675.8000, 68.3198
676.0000, 68.5460
676.2000, 68.5469
676.4000, 68.6681
676.6000, 68.8670
676.8000, 68.8465
677.0000, 68.8654
677.2000, 69.0153
677.4000, 69.0079
677.6000, 68.9950
677.8000, 68.9068
678.0000, 68.6685
678.2000, 68.2774
678.4000, 67.6793
678.6000, 66.6778
678.8000, 65.1409
679.0000, 63.3611
679.2000, 60.8528
679.4000, 57.8500
679.6000, 54.4114
679.8000, 50.4692
680.0000, 46.3526
680.2000, 41.6518
680.4000, 37.1388
680.6000, 32.5939
680.8000, 28.4262
681.0000, 24.6464
681.2000, 21.3015
681.4000, 18.1903
681.6000, 15.5102
681.8000, 13.1428
682.0000, 11.1687
682.2000,  9.5306
682.4000,  8.1161
682.6000,  6.9461
682.8000,  5.9470
683.0000,  5.1046
683.2000,  4.3630
683.4000,  3.7559
683.6000,  3.2214
683.8000,  2.8082
684.0000,  2.4578
684.2000,  2.1437
684.4000,  1.8736
684.6000,  1.6312
684.8000,  1.4397
685.0000,  1.2668
685.2000,  1.1255
685.4000,  1.0033
685.6000,  0.8899
685.8000,  0.7916
686.0000,  0.6980
686.2000,  0.6262
686.4000,  0.5626
686.6000,  0.5021
686.8000,  0.4599
687.0000,  0.4115
687.2000,  0.3691
687.4000,  0.3387
687.6000,  0.3050
687.8000,  0.2787
688.0000,  0.2494
688.2000,  0.2306
688.4000,  0.2084
688.6000,  0.1902
688.8000,  0.1772
689.0000,  0.1608
689.2000,  0.1463
689.4000,  0.1339
689.6000,  0.1207
689.8000,  0.1135
690.0000,  0.1068
690.2000,  0.0983
690.4000,  0.0889
690.6000,  0.0862
690.8000,  0.0829
691.0000,  0.0743
691.2000,  0.0699
691.4000,  0.0626
691.6000,  0.0591
691.8000,  0.0528
692.0000,  0.0525
692.2000,  0.0468
692.4000,  0.0425
692.6000,  0.0416
692.8000,  0.0390
693.0000,  0.0370
693.2000,  0.0337
693.4000,  0.0327
693.6000,  0.0294
693.8000,  0.0307
694.0000,  0.0366
694.2000,  0.0269
694.4000,  0.0264
694.6000,  0.0236
694.8000,  0.0231
695.0000,  0.0166
