Field,Fraction
0,0.775631
0.004,0.775185
0.008,0.775249
0.012,0.775058
0.016,0.774867
0.02,0.774867
0.024,0.774867
0.028,0.774803
0.032,0.774803
0.036,0.77474
0.04,0.774803
0.044,0.774803
0.048,0.774803
0.052,0.77474
0.056,0.774676
0.06,0.774612
0.064,0.774676
0.068,0.774485
0.072,0.774421
0.076,0.774485
0.08,0.774421
0.084,0.774358
0.088,0.774612
0.092,0.774421
0.096,0.774231
0.1,0.773976
0.104,0.773912
0.108,0.773594
0.112,0.773594
0.116,0.773594
0.12,0.773721
0.124,0.773785
0.128,0.773785
0.132,0.773785
0.136,0.774103
0.14,0.774103
0.144,0.774103
0.148,0.773849
0.152,0.773817
0.156,0.773753
0.16,0.773626
0.164,0.773562
0.168,0.773371
0.172,0.773498
0.176,0.773498
0.18,0.773562
0.184,0.773689
0.188,0.773562
0.192,0.773212
0.196,0.773148
0.2,0.773148
0.204,0.772894
0.208,0.772957
0.212,0.773021
0.216,0.772894
0.22,0.772957
0.224,0.772894
0.228,0.772894
0.232,0.77283
0.236,0.77283
0.24,0.772703
0.244,0.772575
0.248,0.772544
0.252,0.772416
0.256,0.77248
0.26,0.772416
0.264,0.772416
0.268,0.77248
0.272,0.772798
0.276,0.772798
0.28,0.772862
0.284,0.772671
0.288,0.772225
0.292,0.772225
0.296,0.771971
0.3,0.771971
0.304,0.771907
0.308,0.772098
0.312,0.772034
0.316,0.772098
0.32,0.772034
0.324,0.772034
0.328,0.772034
0.332,0.772002
0.336,0.771939
0.34,0.771843
0.344,0.771907
0.348,0.77178
0.352,0.771652
0.356,0.771525
0.36,0.771589
0.364,0.771652
0.368,0.771589
0.372,0.771716
0.376,0.771525
0.38,0.771079
0.384,0.771016
0.388,0.770888
0.392,0.770825
0.396,0.770888
0.4,0.770952
0.404,0.771016
0.408,0.771334
0.412,0.771143
0.416,0.77127
0.42,0.771207
0.424,0.771079
0.428,0.771079
0.432,0.770952
0.436,0.77092
0.44,0.770729
0.444,0.770793
0.448,0.770666
0.452,0.770729
0.456,0.770793
0.46,0.770793
0.464,0.770793
0.468,0.770697
0.472,0.770825
0.476,0.770315
0.48,0.770379
0.484,0.770188
0.488,0.770061
0.492,0.770061
0.496,0.770188
0.5,0.770188
0.504,0.770188
0.508,0.769997
0.512,0.769997
0.516,0.769933
0.52,0.76987
0.524,0.769679
0.528,0.769774
0.532,0.769838
0.536,0.769711
0.54,0.769711
0.544,0.769902
0.548,0.769902
0.552,0.770029
0.556,0.769965
0.56,0.769965
0.564,0.769838
0.568,0.76952
0.572,0.769392
0.576,0.769201
0.58,0.769074
0.584,0.769138
0.588,0.769265
0.592,0.769265
0.596,0.769329
0.6,0.769201
0.604,0.769106
0.608,0.769233
0.612,0.76917
0.616,0.769233
0.62,0.769106
0.624,0.76901
0.628,0.768883
0.632,0.768819
0.636,0.768819
0.64,0.768756
0.644,0.768756
0.648,0.768756
0.652,0.768692
0.656,0.768628
0.66,0.768501
0.664,0.768246
0.668,0.76831
0.672,0.768119
0.676,0.768056
0.68,0.768437
0.684,0.768501
0.688,0.768565
0.692,0.768565
0.696,0.76831
0.7,0.76831
0.704,0.76831
0.708,0.768246
0.712,0.768056
0.716,0.76796
0.72,0.768087
0.724,0.76796
0.728,0.767896
0.732,0.767896
0.736,0.767896
0.74,0.767865
0.744,0.767992
0.748,0.768056
0.752,0.767992
0.756,0.767674
0.76,0.767483
0.764,0.767419
0.768,0.767164
0.772,0.767355
0.776,0.767292
0.78,0.767292
0.784,0.767292
0.788,0.767101
0.792,0.767037
0.796,0.766973
0.8,0.767101
0.804,0.767164
0.808,0.767037
0.812,0.767005
0.816,0.767196
0.82,0.767196
0.824,0.767196
0.828,0.767132
0.832,0.767069
0.836,0.767069
0.84,0.767069
0.844,0.766941
0.848,0.766878
0.852,0.766432
0.856,0.766496
0.86,0.766432
0.864,0.766305
0.868,0.766432
0.872,0.766432
0.876,0.7664
0.88,0.766591
0.884,0.7664
0.888,0.766464
0.892,0.7664
0.896,0.766337
0.9,0.766209
0.904,0.766178
0.908,0.766241
0.912,0.76605
0.916,0.765987
0.92,0.765859
0.924,0.765796
0.928,0.765796
0.932,0.765732
0.936,0.765923
0.94,0.765923
0.944,0.765668
0.948,0.765477
0.952,0.765732
0.956,0.765541
0.96,0.765732
0.964,0.765668
0.968,0.765605
0.972,0.765605
0.976,0.765477
0.98,0.76535
0.984,0.765414
0.988,0.765414
0.992,0.765414
0.996,0.765286
1,0.765254
1.004,0.765191
1.008,0.765127
1.012,0.765032
1.016,0.765095
1.02,0.765159
1.024,0.765223
1.028,0.765159
1.032,0.765223
1.036,0.765095
1.04,0.764586
1.044,0.764713
1.048,0.764522
1.052,0.764395
1.056,0.764395
1.06,0.764395
1.064,0.764331
1.068,0.764331
1.072,0.764204
1.076,0.764395
1.08,0.764395
1.084,0.764268
1.088,0.764459
1.092,0.764554
1.096,0.764618
1.1,0.764491
1.104,0.7643
1.108,0.764172
1.112,0.764172
1.116,0.764172
1.12,0.764109
1.124,0.764172
1.128,0.764109
1.132,0.763918
1.136,0.763727
1.14,0.76379
1.144,0.763536
1.148,0.763567
1.152,0.763631
1.156,0.763695
1.16,0.763758
1.164,0.763567
1.168,0.763567
1.172,0.763567
1.176,0.763567
1.18,0.763631
1.184,0.763377
1.188,0.763345
1.192,0.763217
1.196,0.763154
1.2,0.762963
1.204,0.762899
1.208,0.762963
1.212,0.763154
1.216,0.763154
1.22,0.763154
1.224,0.763345
1.228,0.763026
1.232,0.763026
1.236,0.762963
1.24,0.762708
1.244,0.762708
1.248,0.762772
1.252,0.762644
1.256,0.762708
1.26,0.762517
1.264,0.762581
1.268,0.762644
1.272,0.762581
1.276,0.762517
1.28,0.762485
1.284,0.762453
1.288,0.762453
1.292,0.76239
1.296,0.762326
1.3,0.762262
1.304,0.762326
1.308,0.762262
1.312,0.762262
1.316,0.762326
1.32,0.762071
1.324,0.761817
1.328,0.761817
1.332,0.761499
1.336,0.761499
1.34,0.761435
1.344,0.761499
1.348,0.761626
1.352,0.761562
1.356,0.761499
1.36,0.761753
1.364,0.761944
1.368,0.761881
1.372,0.761753
1.376,0.761658
1.38,0.76153
1.384,0.76153
1.388,0.761276
1.392,0.761276
1.396,0.761276
1.4,0.761339
1.404,0.761403
1.408,0.761467
1.412,0.761403
1.416,0.760957
1.42,0.760989
1.424,0.760926
1.428,0.760798
1.432,0.760862
1.436,0.760862
1.44,0.760766
1.444,0.76083
1.448,0.760575
1.452,0.760639
1.456,0.760385
1.46,0.759939
1.464,0.759525
1.468,0.759175
1.472,0.758857
1.476,0.758411
1.48,0.757902
1.484,0.757361
1.488,0.757233
1.492,0.756851
1.496,0.75666
1.5,0.756597
1.504,0.755833
1.508,0.755164
1.512,0.754528
1.516,0.754146
1.52,0.753382
1.524,0.752777
1.528,0.752141
1.532,0.751695
1.536,0.751377
1.54,0.75074
1.544,0.750231
1.548,0.749499
1.552,0.749053
1.556,0.748512
1.56,0.747684
1.564,0.746729
1.568,0.745711
1.572,0.744406
1.576,0.743578
1.58,0.742337
1.584,0.740936
1.588,0.740173
1.592,0.737053
1.596,0.731451
1.6,0.723303
